total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
8525,228,31,-1.0,5.06331992149353,False,2025-10-25 14:25:45,0,0.0,4627045023744.0,0.91484524
8563,229,38,-1.0,5.548038482666016,False,2025-10-25 14:25:51,0,0.0,5309659611136.0,0.91446562
8608,230,45,-1.0,8.7409086227417,False,2025-10-25 14:26:00,0,0.0,4150406938624.0,0.91401607
8632,231,24,-1.0,3.483098268508911,False,2025-10-25 14:26:05,0,0.0,6403075866624.0,0.91377631
8689,232,57,1.0,13.265390872955322,True,2025-10-25 14:26:19,0,0.0,6445183533056.0,0.9132068799999999
8723,233,34,1.0,6.795091390609741,True,2025-10-25 14:26:26,0,0.0,6003222380544.0,0.91286722
8775,234,52,-1.0,8.871580600738525,False,2025-10-25 14:26:36,0,0.0,7275739086848.0,0.91234774
8811,235,36,-1.0,6.917038440704346,False,2025-10-25 14:26:44,0,0.0,8507084505088.0,0.9119881
8860,236,49,-1.0,9.962937831878662,False,2025-10-25 14:26:55,0,0.0,7065595543552.0,0.91149859
8891,237,31,-1.0,4.53618311882019,False,2025-10-25 14:27:00,0,0.0,6790537281536.0,0.9111889
8942,238,51,1.0,9.970885038375854,True,2025-10-25 14:27:11,0,0.0,9268128382976.0,0.91067941
8976,239,34,-1.0,5.425477981567383,False,2025-10-25 14:27:17,0,0.0,9824525877248.0,0.91033975
9027,240,51,-1.0,79.68402743339539,False,2025-10-25 14:28:38,0,0.0,34198874226688.0,0.90983026
9067,241,40,-1.0,7.353440284729004,False,2025-10-25 14:28:46,0,0.0,41599161597952.0,0.90943066
9096,242,29,-1.0,3.9290688037872314,False,2025-10-25 14:28:50,0,0.0,13912467570688.0,0.9091409500000001
9139,243,43,-1.0,7.788912057876587,False,2025-10-25 14:28:59,0,0.0,11859114590208.0,0.90871138
9172,244,33,-1.0,4.605824708938599,False,2025-10-25 14:29:05,0,0.0,18447144583168.0,0.90838171
9196,245,24,-1.0,3.2801830768585205,False,2025-10-25 14:29:09,0,0.0,45293328400384.0,0.90814195
9226,246,30,-1.0,4.29920506477356,False,2025-10-25 14:29:14,0,0.0,15220846100480.0,0.90784225
9257,247,31,-1.0,4.116430282592773,False,2025-10-25 14:29:20,0,0.0,30160485089280.0,0.90753256
9298,248,41,1.0,6.725297451019287,True,2025-10-25 14:29:27,0,0.0,39184756637696.0,0.90712297
9331,249,33,-1.0,5.603569746017456,False,2025-10-25 14:29:34,0,0.0,43110180585472.0,0.9067933
9365,250,34,-1.0,5.333167791366577,False,2025-10-25 14:29:40,0,0.0,13577772597248.0,0.9064536400000001
9403,251,38,1.0,7.0857086181640625,True,2025-10-25 14:29:48,0,0.0,9590872735744.0,0.90607402
9428,252,25,-1.0,3.962716579437256,False,2025-10-25 14:29:53,0,0.0,15106508324864.0,0.90582427
9455,253,27,-1.0,3.8446075916290283,False,2025-10-25 14:29:58,0,0.0,36760302125056.0,0.90555454
9480,254,25,-1.0,3.2562665939331055,False,2025-10-25 14:30:02,0,0.0,15512378540032.0,0.90530479
