total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
5576,139,29,-0.9633980904848305,3.604766368865967,False,2025-10-25 18:59:29,0,0.0,0.06888287514448166,0.94430575
5616,140,40,-1.2863163066546501,6.61708402633667,False,2025-10-25 18:59:36,0,0.0,0.08870347589254379,0.94390615
5661,141,45,-1.3231406156138052,7.870934724807739,False,2025-10-25 18:59:45,0,0.0,0.05049516260623932,0.9434566
5705,142,44,-0.9650176093013041,7.256465435028076,False,2025-10-25 18:59:53,0,0.0,0.048034947365522385,0.94301704
5749,143,44,-1.2468054805019944,8.51443600654602,False,2025-10-25 19:00:02,0,0.0,0.03762657195329666,0.94257748
5775,144,26,-1.1524953335298163,4.5186662673950195,False,2025-10-25 19:00:08,0,0.0,0.08648340404033661,0.94231774
5810,145,35,-1.0219764865992649,5.767139911651611,False,2025-10-25 19:00:14,0,0.0,0.028219377622008324,0.94196809
5833,146,23,-1.6152155548464462,3.2384207248687744,False,2025-10-25 19:00:18,0,0.0,0.0786910206079483,0.94173832
5873,147,40,-1.340263040853126,6.34033989906311,False,2025-10-25 19:00:27,0,0.0,0.018235042691230774,0.94133872
5907,148,34,-1.168325280225073,5.4916746616363525,False,2025-10-25 19:00:33,0,0.0,0.019345944747328758,0.94099906
5942,149,35,-1.4278298198767418,5.428202152252197,False,2025-10-25 19:00:39,0,0.0,0.028088105842471123,0.94064941
5984,150,42,-0.9948068642944659,8.202630758285522,False,2025-10-25 19:00:49,0,0.0,0.027071107178926468,0.94022983
6068,151,84,1.320613149975826,82.39714360237122,True,2025-10-25 19:02:12,0,0.0,0.15690749883651733,0.93939067
6098,152,30,-1.665550556414417,5.5601420402526855,False,2025-10-25 19:02:18,0,0.0,0.04799586161971092,0.93909097
6134,153,36,-1.6703827349121467,6.623621225357056,False,2025-10-25 19:02:26,0,0.0,0.05953037738800049,0.93873133
6152,154,18,-1.8054711585434595,1.9821486473083496,False,2025-10-25 19:02:28,0,0.0,0.02482783980667591,0.93855151
6186,155,34,-1.1919411693424877,5.364520311355591,False,2025-10-25 19:02:36,0,0.0,0.05559399724006653,0.93821185
6224,156,38,1.350364153104586,6.913815021514893,True,2025-10-25 19:02:44,0,0.0,0.02861970290541649,0.93783223
